Epoch,Training_errors,Validation_errors
563,7.42475E-05,8.75756E-05
564,8.34951E-05,8.30551E-05
565,8.15801E-05,8.9384E-05
566,9.14059E-05,9.50207E-05
567,6.60485E-05,8.44318E-05
568,8.657E-05,8.65755E-05
569,8.50663E-05,8.4769E-05
570,9.24442E-05,9.67356E-05
571,7.8976E-05,8.40274E-05
572,9.95287E-05,9.46833E-05
573,9.66824E-05,9.18383E-05
574,9.05743E-05,8.4564E-05
575,7.52316E-05,8.42519E-05
576,8.41847E-05,8.17863E-05
577,9.14478E-05,8.3985E-05
578,6.81668E-05,8.06765E-05
579,9.05035E-05,8.3532E-05
580,8.4684E-05,8.11589E-05
581,8.39764E-05,8.52944E-05
582,8.56942E-05,8.91684E-05
583,9.27748E-05,8.3837E-05
584,7.89175E-05,8.37949E-05
585,9.58202E-05,9.01402E-05
586,6.67119E-05,7.93632E-05
587,8.80818E-05,7.94175E-05
588,8.01719E-05,8.10207E-05
589,8.11948E-05,8.86842E-05
590,7.16331E-05,8.08091E-05
591,7.99243E-05,7.95563E-05
592,8.91292E-05,8.69941E-05
593,9.08052E-05,7.98414E-05
594,8.99358E-05,7.94617E-05
595,8.32021E-05,8.80824E-05
596,7.04459E-05,8.90518E-05
597,7.45192E-05,7.92919E-05
598,8.0638E-05,8.78887E-05
599,7.94865E-05,8.29935E-05
600,9.43485E-05,9.9073E-05
601,7.71124E-05,8.25741E-05
602,9.49706E-05,8.92079E-05
603,7.25358E-05,8.26361E-05
604,9.03989E-05,8.3212E-05
605,8.20446E-05,7.86981E-05
606,7.3328E-05,8.43441E-05
607,7.27256E-05,8.13724E-05
608,8.65235E-05,9.83806E-05
609,7.36695E-05,8.37981E-05
610,7.71377E-05,8.50362E-05
611,6.77273E-05,8.00804E-05
612,9.67562E-05,9.99517E-05
613,7.32043E-05,7.65614E-05
614,6.56511E-05,8.04344E-05
615,9.43466E-05,8.52273E-05
616,6.32364E-05,7.52815E-05
617,5.70856E-05,7.61766E-05
618,6.69712E-05,7.81434E-05
619,7.17631E-05,7.67056E-05
620,8.60437E-05,7.46901E-05
621,9.91288E-05,9.46816E-05
622,6.83299E-05,7.6972E-05
623,6.43562E-05,7.45986E-05
624,9.6903E-05,9.9689E-05
625,7.53825E-05,7.85676E-05
626,6.39935E-05,7.45153E-05
627,8.5636E-05,8.48986E-05
628,8.01924E-05,8.70865E-05
629,6.26219E-05,7.43123E-05
630,5.93374E-05,7.26921E-05
631,7.85421E-05,7.42006E-05
632,7.12245E-05,7.43783E-05
633,6.90535E-05,7.41344E-05
634,6.84946E-05,7.45182E-05
635,7.12163E-05,8.04367E-05
636,7.15829E-05,7.60763E-05
637,6.106E-05,7.14334E-05
638,6.61885E-05,7.38014E-05
639,6.18545E-05,7.58489E-05
640,6.35777E-05,7.25778E-05
641,9.42842E-05,9.00124E-05
642,7.2121E-05,7.3203E-05
643,6.04339E-05,7.24213E-05
